NAME,the_geom,ADDRESS1,ADDRESS2,CITY,ZIP,long,lat
O'reilly William & Co Ltd,POINT (-73.96273074561996 40.773800871637576),52 E 76th St,,Manhattan,10021,-73.96273075,40.77380087
Organization of Independent Artists - Gallery 402,POINT (-74.0093857886298 40.71646850931738),19 Hudson St.,,Manhattan,10013,-74.00938579,40.71646851
Owen Gallery,POINT (-73.96435178145856 40.7740008522409),19 E 75th St,,Manhattan,10021,-73.96435178,40.77400085
P P O W Gallerie,POINT (-74.00389261044238 40.74958540084406),511 W 25th St,,Manhattan,10001,-74.00389261,40.7495854
P P O W Inc,POINT (-74.00176389614576 40.72290742771331),476 Broome St,,Manhattan,10013,-74.0017639,40.72290743
P S 122 Gallery,POINT (-73.98437148002196 40.72816774159305),150 1st Ave,,Manhattan,10009,-73.98437148,40.72816774
Pace Editions,POINT (-73.99437670706857 40.73920194963794),44 W 18th St,,Manhattan,10011,-73.99437671,40.73920195
Pace MacGill Gallery,POINT (-73.97202174911459 40.76194965113893),32 E. 57th St.,9th Fl.,Manhattan,10022,-73.97202175,40.76194965
Pace Prints & Primitive Gallery,POINT (-73.97211461855828 40.76183646853851),32 E. 57th St.,3rd Fl.,Manhattan,10022,-73.97211462,40.76183647
Pace Wildenstein,POINT (-74.00495117630976 40.749448279774704),534 W 25th St,,Manhattan,10001,-74.00495118,40.74944828
Pace Wildenstein,POINT (-73.97207691758459 40.761886074501135),32 E 57th St,Fl 4,Manhattan,10022,-73.97207692,40.76188607
Paige's Art Gallery,POINT (-73.95927392718306 40.815000699601086),3163 Broadway,,Manhattan,10027,-73.95927393,40.8150007
PaineWebber Gallery,POINT (-73.98058386642786 40.76118894257876),1285 Sixth Ave.,,Manhattan,10019,-73.98058387,40.76118894
Paint Can Studios,POINT (-73.92794008275476 40.755157871293065),3608 34th St,,Astoria,11106,-73.92794008,40.75515787
Paley Barbara K,POINT (-73.98148007125768 40.76637001937273),1776 Broadway,,Manhattan,10019,-73.98148007,40.76637002
Pall William Inc,POINT (-73.96481233836307 40.764508738680895),188 E 64th St,,Manhattan,10021,-73.96481234,40.76450874
Palmer Meredith Gallery,POINT (-73.95482248967467 40.78563341564519),40 E 94th St,,Manhattan,10128,-73.95482249,40.78563342
Pandora Old Masters,POINT (-73.9608164118453 40.76789235225353),212 E 70th St,,Manhattan,10021,-73.96081641,40.76789235
