"","RegionName","Type","Bedroom","Price_Predict","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01","X2016.02","X2016.03","X2016.04","X2016.05","X2016.06","X2016.07","X2016.08","X2016.09","X2016.10","X2016.11","X2016.12","X2017.01","X2017.02","X2017.03","X2017.04","X2017.05","X2017.06","X2017.07","X2017.08"
"1",83,"Rental",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10001,"Rental",3,5615,4758,4888,4889,4645,4699,4771,5013,5051,5281,5278,5351,5612,5719,5298,5108,5084,5180,5281,5176,5030,5103,5204,5242,5164,5269,5385,5211,5277,5282,5373,5305,5378,5480,5345,5508,5581,5603,5530,5312,5363,5281,5505,5538,5343,5711,5750,5720,5708,5672,5607,5630,5652,5554,5498,5874,5734,5589,5968,5767,5783,5589,5847,5606,5685,5674,5564,5576,5544,5536,5585,5578,5600
"3",10002,"Rental",3,4556,3750,3870,3825,3642.5,3600,3700,3995,3995,4250,4200,4342.5,4525,4700,4200,4050,4050,4147.5,4200,4100,4000,4050,4200,4150,4150,4250,4300,4200,4200,4200,4295,4300,4350,4400,4295,4487,4500,4578,4450,4269,4269,4200,4450,4500,4300,4625,4675,4639.5,4695,4650,4580,4539.5,4580,4540,4450,4797.5,4700,4550,4895,4672.5,4750,4500,4800,4583,4600,4650,4495,4495,4493.5,4495,4497.5,4500,4562.5
"4",10003,"Rental",3,5054,4450,4500,4400,4300,4495,4495,4400,4400,4500,4500,4650,4800,4950,4900,4837.5,4700,4700,4650,4650,4700,4750,4795,4795,4795,4700,4700,4650,4650,4750,4800,4900,4900,4900,4900,5200,5197.5,5125,5000,5000,5140,5100,5000,5150,5100,5100,5000,5000,4999,5000,5150,5000,5000,5000,5000,5150,5150,5000,5200,5025,5000,5000,4897,4900,4900,5000,5050,5150,5160,5100,5000,5195,5295
"5",10004,"Rental",3,5601,4964,5030,4910,4851,5058,5068,4948,4925,5020,5091,5233,5370,5464,5465,5406,5295,5252,5160,5235,5202,5301,5306,5343,5391,5286,5256,5185,5203,5303,5341,5451,5447,5427,5430,5718,5768,5674,5523,5589,5657,5654,5551,5715,5690,5653,5509,5573,5543,5565,5721,5595,5594,5594,5581,5729,5693,5511,5756,5607,5528,5550,5407,5482,5463,5526,5633,5662,5679,5664,5569,5715,5863
"6",10005,"Rental",3,5711,5145,5116,5059,4960,5137,5115,5022,5011,5111,5104,5257,5426,5553,5589,5448,5348,5380,5293,5254,5350,5432,5486,5435,5476,5359,5382,5294,5254,5435,5417,5597,5580,5590,5529,5872,5892,5785,5648,5686,5833,5701,5644,5807,5785,5773,5601,5667,5689,5656,5769,5603,5692,5619,5676,5751,5806,5652,5892,5632,5659,5616,5569,5564,5598,5647,5666,5812,5856,5771,5671,5853,5905
"7",10006,"Rental",3,5198,4604,4637,4545,4460,4646,4652,4588,4541,4632,4658,4771,4965,5131,5077,4941,4884,4803,4764,4849,4804,4930,4977,4970,4910,4810,4802,4801,4792,4894,4932,5087,5063,5068,5079,5305,5350,5325,5116,5102,5280,5219,5199,5284,5283,5270,5125,5113,5106,5132,5331,5125,5189,5168,5182,5312,5337,5132,5354,5155,5198,5128,5085,5011,5009,5124,5179,5343,5293,5200,5187,5381,5442
"8",10007,"Rental",3,6207,5575,5644,5555,5480,5613,5637,5598,5505,5657,5676,5787,5922,6090,6037,5938,5819,5845,5757,5816,5896,5856,5935,5994,5983,5851,5860,5798,5790,5853,5967,6011,6023,6027,6087,6315,6395,6289,6182,6123,6256,6242,6137,6291,6233,6239,6110,6172,6180,6108,6301,6164,6155,6123,6151,6261,6273,6198,6303,6199,6103,6178,6008,6073,6003,6139,6226,6322,6319,6240,6165,6319,6492
"9",10009,"Rental",3,4388,4065,4181,4019,3956,4179,4168,4095,4083,4101,4121,4324,4423,4568,4549,4468,4312,4369,4297,4284,4349,4364,4429,4443,4480,4363,4362,4315,4282,4431,4478,4549,4591,4536,4580,4873,4846,4754,4688,4689,4779,4714,5374,5374,4495,4350,4450,4450,4400,4350,4400,4495,4350,4397.5,4470,4375,4470,4495,4470,4495,4400,4295,4250,4272.5,4200,4350,4300,4495,4500,4500,4500,4500,4490
"10",10010,"Rental",3,4839,4244,4250,4188,4150,4000,4000,4000,4150,4150,4295,4300,4400,4395,4395,4350,4495,4475,4500,4495,4400,4495,4400,4500,4500,4500,4597.5,4725,4610,4495,4400,4450,4485,4420,4657.5,4900,5000,5000,5000,5000,5310,5100,4895,4900,5000,4900,4897.5,4847.5,4900,5050,5197.5,5000,4999.5,4972.5,5000,5000,4900,4947.5,4900,4500,4700,4500,5000,4900,4591.5,4900,5073.5,4897.5,4800,4600,4800,4800,5200
"11",10011,"Rental",3,5820,5250,5195,5000,5190,5000,5050,4995,4995,5000,5195,5400,5400,5400,5592.5,5625,5495,5300,5295,5350,5475,5495,5495,5500,5500,5500,5500,5525,5595,5495,5495,5595,5505,5500,5695,6300,5706,5615,5490,5600,5500,5595,5550,5500,5800,5895,5999.5,5995,5995,6299,6725,5991.5,6150,6200,6072.5,5995,6022.5,5995,5966.5,5595,5800,5350,5697.5,5422,5700,6150,5797.5,5550,5731,6250,6200,6000,5995
"12",10012,"Rental",3,5905,4900,5295,5400,5500,5000,5425,4900,4800,5472.5,5200,4990,5250,5095,5375,5272.5,5200,5000,5295,5300,5000,5000,5250,5200,5100,5250,5500,5600,5500,5700,5945,5900,5800,5700,6000,5900,5900,5672.5,5900,5500,5445,5700,5900,5995,5900,5400,5500,5450,5300,6000,5950,5950,6000,6397.5,6000,5850,6300,5900,5600,5500,5295,5397.5,5200,5850,5800,5800,6250,6700,6650,6100,5695,5625,5795
"13",10013,"Rental",3,6253,6220,6230,6227,6177,6398,6161,6115,6124,6136,6189,6126,6138,6047,6133,6082,6130,6134,5814,6030,6082,6094,6143,6189,6213,6314,6180,6138,6113,6095,6084,6022,6007,6093,5866,5865,6254,6164,6081,6245,6199,6472,6378,6457,6466,6607,6569,6573,6642,6608,6469,6332,6206,6162,6209,6233,6228,6174,6125,6269,6144,6325,6210,5835,6243,6150,6197,6376,6381,6297,6220,6376,6428
