"NAME","the_geom","ADDRESS1","ADDRESS2","CITY","ZIP","long","lat"
"O'reilly William & Co Ltd","POINT (-73.96273074561996 40.773800871637576)","52 E 76th St","","New York",10021,"-73.96273074561996","40.773800871637576"
"Organization of Independent Artists - Gallery 402","POINT (-74.0093857886298 40.71646850931738)","19 Hudson St.","","New York",10013,"-74.0093857886298","40.71646850931738"
"Owen Gallery","POINT (-73.96435178145856 40.7740008522409)","19 E 75th St","","New York",10021,"-73.96435178145856","40.7740008522409"
"P P O W Gallerie","POINT (-74.00389261044238 40.74958540084406)","511 W 25th St","","New York",10001,"-74.00389261044238","40.74958540084406"
"P P O W Inc","POINT (-74.00176389614576 40.72290742771331)","476 Broome St","","New York",10013,"-74.00176389614576","40.72290742771331"
"P S 122 Gallery","POINT (-73.98437148002196 40.72816774159305)","150 1st Ave","","New York",10009,"-73.98437148002196","40.72816774159305"
"Pace Editions","POINT (-73.99437670706857 40.73920194963794)","44 W 18th St","","New York",10011,"-73.99437670706857","40.73920194963794"
"Pace MacGill Gallery","POINT (-73.97202174911459 40.76194965113893)","32 E. 57th St.","9th Fl.","New York",10022,"-73.97202174911459","40.76194965113893"
"Pace Prints & Primitive Gallery","POINT (-73.97211461855828 40.76183646853851)","32 E. 57th St.","3rd Fl.","New York",10022,"-73.97211461855828","40.76183646853851"
"Pace Wildenstein","POINT (-74.00495117630976 40.749448279774704)","534 W 25th St","","New York",10001,"-74.00495117630976","40.749448279774704"
"Pace Wildenstein","POINT (-73.97207691758459 40.761886074501135)","32 E 57th St","Fl 4","New York",10022,"-73.97207691758459","40.761886074501135"
"Paige's Art Gallery","POINT (-73.95927392718306 40.815000699601086)","3163 Broadway","","New York",10027,"-73.95927392718306","40.815000699601086"
"PaineWebber Gallery","POINT (-73.98058386642786 40.76118894257876)","1285 Sixth Ave.","","New York",10019,"-73.98058386642786","40.76118894257876"
"Paint Can Studios","POINT (-73.92794008275476 40.755157871293065)","3608 34th St","","Astoria",11106,"-73.92794008275476","40.755157871293065"
"Paley Barbara K","POINT (-73.98148007125768 40.76637001937273)","1776 Broadway","","New York",10019,"-73.98148007125768","40.76637001937273"
"Pall William Inc","POINT (-73.96481233836307 40.764508738680895)","188 E 64th St","","New York",10021,"-73.96481233836307","40.764508738680895"
"Palmer Meredith Gallery","POINT (-73.95482248967467 40.78563341564519)","40 E 94th St","","New York",10128,"-73.95482248967467","40.78563341564519"
"Pandora Old Masters","POINT (-73.9608164118453 40.76789235225353)","212 E 70th St","","New York",10021,"-73.9608164118453","40.76789235225353"
"Pardo Sheenan Galleries Ltd","POINT (-73.98156101599031 40.74489610149597)","121 E 31st St","","New York",10016,"-73.98156101599031","40.74489610149597"
"Parker's Box","POINT (-73.9604447082016 40.714309158269266)","193 Grand St","","Brooklyn",11211,"-73.9604447082016","40.714309158269266"
"Parsons Galleries","POINT (-73.9947818620198 40.73539495311296)","2 W. 13th St.","","New York",10011,"-73.9947818620198","40.73539495311296"
"Patricia Laligant Photographs","POINT (-73.99282054710083 40.74676020721873)","150 W 28th St","","New York",10001,"-73.99282054710083","40.74676020721873"
"Patrick's Gallery","POINT (-73.99851017182027 40.741868777110206)","220 W 19th St","","New York",10011,"-73.99851017182027","40.741868777110206"
"Paul Kasmin Gallery","POINT (-74.00272285706035 40.75019275007833)","293 10th Ave","","New York",10001,"-74.00272285706035","40.75019275007833"
"Paula Cooper Gallery","POINT (-74.0068977266516 40.74691990132535)","534 W. 21st St.","","New York",10011,"-74.0068977266516","40.74691990132535"
"Peck Ian Fine Paintings Ltd","POINT (-73.9636501275563 40.77476053223472)","980 Madison Ave","","New York",10021,"-73.9636501275563","40.77476053223472"
"Peder Bonnier Inc","POINT (-73.99623914232185 40.7440599458188)","206 W 23rd St","Fl 4","New York",10011,"-73.99623914232185","40.7440599458188"
"Perimeter Gallery","POINT (-74.00389939402838 40.74938125319496)","511 W 25th St","","New York",10001,"-74.00389939402838","40.74938125319496"
"Perlow Rich Katharina Gallery Inc","POINT (-73.97163996489826 40.76236540983018)","41 E 57th St","","New York",10022,"-73.97163996489826","40.76236540983018"
"Peter L Villa Fine Art","POINT (-73.97029437215403 40.761169700561084)","110 E 57th St","","New York",10022,"-73.97029437215403","40.761169700561084"
"Peter Rose Gallery","POINT (-73.96690494675263 40.760575546804205)","200 E 58th St","Apt 20C","New York",10022,"-73.96690494675263","40.760575546804205"
"Peters Gerald Gallery","POINT (-73.96316937082618 40.775663560369196)","24 E 78th St","","New York",10075,"-73.96316937082618","40.775663560369196"
"Phoenix Design Ltd","POINT (-73.77059062315153 40.76366854810639)","21415 41st Ave","","Bayside",11361,"-73.77059062315153","40.76366854810639"
"Phoenix Gallery","POINT (-74.00599166531202 40.749775251812174)","210 ELEVENTH AVENUE","SUITE 902","New York",10001,"-74.00599166531202","40.749775251812174"
