Active Date,COUNTY,LEGAL NAME,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE DESCRIPTION,GRADE ORGANIZATION DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP
7/1/80,SUFFOLK,FISHERS ISLAND UNION FREE SCHOOL DISTRICT,SCHOOL DISTRICTS,UNION FREE,NA,78 GREENWOOD RD #600,FISHERS ISLAND,NY,06390
7/1/80,SUFFOLK,FISHERS ISLAND SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL UNION FREE,Junior Senior School,78 GREENWOOD RD #600,FISHERS ISLAND,NY,06390
7/1/03,NEW YORK,PS 94,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,55 BATTERY PL,NEW YORK,NY,10001
7/1/80,NEW YORK,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,SCHOOL DISTRICTS,CITY,NA,333 7TH AVE-7TH FL,NEW YORK,NY,10001
7/1/03,NEW YORK,PS 33 CHELSEA PREP,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,281 9TH AVE,NEW YORK,NY,10001
7/1/14,NEW YORK,CITY KNOLL MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior High School,425 W 33RD ST,NEW YORK,NY,10001
7/1/03,NEW YORK,SATELLITE ACADEMY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,120 W 30TH ST,NEW YORK,NY,10001
7/2/11,NEW YORK,AVENUES NEW YORK LLC,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,259 10TH AVE,NEW YORK,NY,10001
7/1/15,NEW YORK,ATLAS SCHOOL - ATLAS LEARNING FOUNDATION,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,252 W 29TH ST - FL 3,NEW YORK,NY,10001
7/1/89,NEW YORK,"BIRCH FAMILY SERVICES, INC",NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,104 W 29TH ST-3RD FL,NEW YORK,NY,10001
7/1/03,NEW YORK,KESWELL SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,331 W 25TH ST,NEW YORK,NY,10001
7/1/80,NEW YORK,OFFICE OF COLLABORATIVE DROPOUT PREVENTION,PUBLIC SCHOOLS,NYC BUREAU,NA,100 ATTORNEY ST,NEW YORK,NY,10002
7/1/80,NEW YORK,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,SCHOOL DISTRICTS,CITY,NA,166 ESSEX ST,NEW YORK,NY,10002
