"","Active.Date","COUNTY","LEGAL.NAME","INSTITUTION.TYPE.DESCRIPTION","INSTITUTION.SUB.TYPE.DESCRIPTION","GRADE.ORGANIZATION.DESCRIPTION","MAILING.ADDRESS","MAIL.CITY","STATE","ZIP","location","long","lat"
"1","7/1/80","SUFFOLK","FISHERS ISLAND UNION FREE SCHOOL DISTRICT","SCHOOL DISTRICTS","UNION FREE",NA,"78 GREENWOOD RD #600","FISHERS ISLAND","NY",6390,"78 GREENWOOD RD #600, FISHERS ISLAND, NY 6390",-73.2512323,40.7430549
"2","7/1/80","SUFFOLK","FISHERS ISLAND SCHOOL","PUBLIC SCHOOLS","PUBLIC SCHOOL UNION FREE","Junior Senior School","78 GREENWOOD RD #600","FISHERS ISLAND","NY",6390,"78 GREENWOOD RD #600, FISHERS ISLAND, NY 6390",-73.2512323,40.7430549
"3","7/1/03","NEW YORK","PS 94","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Elementary","55 BATTERY PL","NEW YORK","NY",10001,"55 BATTERY PL, NEW YORK, NY 10001",-74.0175278,40.7065629
"4","7/1/80","NEW YORK","NEW YORK CITY GEOGRAPHIC DISTRICT # 2","SCHOOL DISTRICTS","CITY",NA,"333 7TH AVE-7TH FL","NEW YORK","NY",10001,"333 7TH AVE-7TH FL, NEW YORK, NY 10001",-73.9927921,40.7474694
"5","7/1/03","NEW YORK","PS 33 CHELSEA PREP","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Elementary","281 9TH AVE","NEW YORK","NY",10001,"281 9TH AVE, NEW YORK, NY 10001",-74.0002433,40.7489449
"6","7/1/14","NEW YORK","CITY KNOLL MIDDLE SCHOOL","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Junior High School","425 W 33RD ST","NEW YORK","NY",10001,"425 W 33RD ST, NEW YORK, NY 10001",NA,NA
"7","7/1/03","NEW YORK","SATELLITE ACADEMY HIGH SCHOOL","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Senior High","120 W 30TH ST","NEW YORK","NY",10001,"120 W 30TH ST, NEW YORK, NY 10001",-73.9905507,40.7474312
"8","7/2/11","NEW YORK","AVENUES NEW YORK LLC","NON-PUBLIC SCHOOLS","INDEPENDENT","K-12 School","259 10TH AVE","NEW YORK","NY",10001,"259 10TH AVE, NEW YORK, NY 10001",-74.0033322,40.749428
"9","7/1/15","NEW YORK","ATLAS SCHOOL - ATLAS LEARNING FOUNDATION","NON-PUBLIC SCHOOLS","INDEPENDENT","Special School","252 W 29TH ST - FL 3","NEW YORK","NY",10001,"252 W 29TH ST - FL 3, NEW YORK, NY 10001",-73.9953108,40.7486658
"10","7/1/89","NEW YORK","BIRCH FAMILY SERVICES, INC","NON-PUBLIC SCHOOLS","INDEPENDENT","Special School","104 W 29TH ST-3RD FL","NEW YORK","NY",10001,"104 W 29TH ST-3RD FL, NEW YORK, NY 10001",-73.9907644,40.7467438
"11","7/1/03","NEW YORK","KESWELL SCHOOL (THE)","NON-PUBLIC SCHOOLS","INDEPENDENT","Special School","331 W 25TH ST","NEW YORK","NY",10001,"331 W 25TH ST, NEW YORK, NY 10001",-73.9987643,40.7473413
"12","7/1/80","NEW YORK","OFFICE OF COLLABORATIVE DROPOUT PREVENTION","PUBLIC SCHOOLS","NYC BUREAU",NA,"100 ATTORNEY ST","NEW YORK","NY",10002,"100 ATTORNEY ST, NEW YORK, NY 10002",NA,NA
"13","7/1/80","NEW YORK","NEW YORK CITY GEOGRAPHIC DISTRICT # 1","SCHOOL DISTRICTS","CITY",NA,"166 ESSEX ST","NEW YORK","NY",10002,"166 ESSEX ST, NEW YORK, NY 10002",-73.9863152,40.7212739
"14","7/1/80","NEW YORK","PS 20 ANNA SILVER","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Elementary","166 ESSEX ST","NEW YORK","NY",10002,"166 ESSEX ST, NEW YORK, NY 10002",-73.9863152,40.7212739
"15","7/1/80","NEW YORK","PS 110 FLORENCE NIGHTINGALE","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Elementary","285 DELANCEY ST","NEW YORK","NY",10002,"285 DELANCEY ST, NEW YORK, NY 10002",-73.9799271,40.7152934
"16","7/1/80","NEW YORK","PS 134 HENRIETTA SZOLD","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Elementary","293 E BROADWAY","NEW YORK","NY",10002,"293 E BROADWAY, NEW YORK, NY 10002",-73.9832907,40.7144062
"17","7/1/80","NEW YORK","PS 140 NATHAN STRAUS","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Elementary","123 RIDGE ST","NEW YORK","NY",10002,"123 RIDGE ST, NEW YORK, NY 10002",-73.9832826,40.7191282
"18","7/1/80","NEW YORK","PS 142 AMALIA CASTRO","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Elementary","100 ATTORNEY ST","NEW YORK","NY",10002,"100 ATTORNEY ST, NEW YORK, NY 10002",-73.9840825,40.7182302
"19","7/1/03","NEW YORK","PS 184 SHUANG WEN","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Elementary","327 CHERRY ST-2ND FL","NEW YORK","NY",10002,"327 CHERRY ST-2ND FL, NEW YORK, NY 10002",NA,NA
"20","7/1/80","NEW YORK","PS 188 ISLAND SCHOOL (THE)","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Elementary","442 E HOUSTON ST","NEW YORK","NY",10002,"442 E HOUSTON ST, NEW YORK, NY 10002",NA,NA
"21","7/1/04","NEW YORK","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Middle School","220 HENRY ST","NEW YORK","NY",10002,"220 HENRY ST, NEW YORK, NY 10002",NA,NA
"22","7/1/08","NEW YORK","SCHOOL FOR GLOBAL LEADERS","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Middle School","145 STANTON ST","NEW YORK","NY",10002,"145 STANTON ST, NEW YORK, NY 10002",NA,NA
"23","7/1/04","NEW YORK","ORCHARD COLLEGIATE ACADEMY","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Junior Senior School","220 HENRY ST","NEW YORK","NY",10002,"220 HENRY ST, NEW YORK, NY 10002",-73.9860695,40.7133429
"24","7/1/03","NEW YORK","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Senior High","200 MONROE ST","NEW YORK","NY",10002,"200 MONROE ST, NEW YORK, NY 10002",NA,NA
"25","5/4/90","NEW YORK","FORSYTHE SATELLITE ACADEMY","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Senior High","198 FORSYTH ST","NEW YORK","NY",10002,"198 FORSYTH ST, NEW YORK, NY 10002",NA,NA
"26","7/1/94","NEW YORK","MARTA VALLE HIGH SCHOOL","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","Senior High","145 STANTON ST","NEW YORK","NY",10002,"145 STANTON ST, NEW YORK, NY 10002",-73.9860794,40.7202883
