"","NAME","the_geom","LINE","Long","Lat"
"1","Astor Pl","POINT (-73.99106999861966 40.73005400028978)","4-6-6 Express","-73.991069998","40.7300540002"
"2","Canal St","POINT (-74.00019299927328 40.71880300107709)","4-6-6 Express","-74.000192999","40.7188030010"
"3","50th St","POINT (-73.98384899986625 40.76172799961419)","2-Jan","-73.983848999","40.7617279996"
"4","Bergen St","POINT (-73.97499915116808 40.68086213682956)","2/3/04","-73.974999151","40.6808621368"
"5","Pennsylvania Ave","POINT (-73.89488591154061 40.66471445143568)","4-Mar","-73.894885911","40.6647144514"
"6","238th St","POINT (-73.90087000018522 40.88466700064975)","1","-73.900870000","40.8846670006"
"7","Cathedral Pkwy (110th St)","POINT (-73.95806670661364 40.800581558114956)","A-B-C","-73.958066706","40.8005815581"
"8","Kingston - Throop Aves","POINT (-73.94085899871263 40.67991899941601)","A-C","-73.940858998","40.6799189994"
"9","65th St","POINT (-73.8987883783301 40.74971952935675)","E-M-R","-73.898788378","40.7497195293"
"10","36th St","POINT (-73.92901818461539 40.75196004401078)","E-M-R","-73.929018184","40.7519600440"
"11","Delancey St - Essex St","POINT (-73.98740940202974 40.71830605618619)","J-M-Z","-73.987409402","40.7183060561"
"12","Van Siclen Ave","POINT (-73.89165772702445 40.67802821447783)","J-Z","-73.891657727","40.6780282144"
"13","Norwood Ave","POINT (-73.87962599910783 40.68152000045683)","J-Z","-73.879625999","40.6815200004"
"14","104th-102nd Sts","POINT (-73.84443500029684 40.69516599823373)","J-Z","-73.844435000","40.6951659982"
"15","DeKalb Ave","POINT (-73.98177094440949 40.690648119969794)","B-D-N-Q-R","-73.981770944","40.6906481199"
"16","Beach 105th St","POINT (-73.82758075034528 40.58326843810286)","A-S","-73.827580750","40.5832684381"
"17","Beach 90th St","POINT (-73.81365140419632 40.58809156457325)","A-S","-73.813651404","40.5880915645"
"18","Freeman St","POINT (-73.89175225349464 40.829987446384116)","5-Feb","-73.891752253","40.8299874463"
"19","Intervale Ave","POINT (-73.89661738461646 40.822142131170786)","5-Feb","-73.896617384","40.8221421311"
"20","182nd-183rd Sts","POINT (-73.90074099998965 40.85609299881864)","B-D","-73.900740999","40.8560929988"
"21","174th-175th Sts","POINT (-73.91013600050078 40.84589999983414)","B-D","-73.910136000","40.8458999998"
"22","167th St","POINT (-73.91843200082253 40.83376899862797)","B-D","-73.918432000","40.8337689986"
"23","Mets - Willets Point","POINT (-73.8456249984179 40.75462199881262)","7-7 Express","-73.845624998","40.7546219988"
"24","Junction Blvd","POINT (-73.86952700103515 40.74914499948836)","7-7 Express","-73.869527001","40.7491449994"
