"","RegionName","Type","Bedroom","Price_Predict","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01","X2016.02","X2016.03","X2016.04","X2016.05","X2016.06","X2016.07","X2016.08","X2016.09","X2016.10","X2016.11","X2016.12","X2017.01","X2017.02","X2017.03","X2017.04","X2017.05","X2017.06","X2017.07","X2017.08"
"1",83,"Rental",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10001,"Rental",4,5610,4776,4910,4846,4672,4636,4743,5009,4998,5343,5217,5380,5604,5742,5227,5104,5134,5199,5273,5138,5038,5082,5235,5174,5205,5294,5355,5287,5288,5237,5325,5361,5437,5428,5308,5492,5533,5678,5479,5335,5321,5223,5492,5592,5310,5696,5709,5723,5728,5736,5585,5607,5593,5577,5495,5891,5701,5616,5953,5710,5761,5587,5886,5654,5647,5720,5553,5553,5548,5516,5537,5546,5575
"3",10002,"Rental",4,6116,5482,5598,5450,5384,5556,5499,5403,5493,5528,5557,5702,5805,5976,5904,5913,5744,5788,5723,5666,5779,5769,5807,5843,5837,5779,5797,5693,5695,5801,5886,5974,5909,5909,5942,6256,6290,6127,6026,6058,6147,6165,6044,6154,6179,6194,6031,6022,6033,6050,6156,6064,6070,6084,6089,6198,6180,6061,6223,6031,6019,6066,5983,5977,5922,6061,6114,6197,6240,6110,6044,6293,6379
"4",10003,"Rental",4,6655,6038,6081,5921,5892,6067,6079,6037,5974,6081,6136,6317,6438,6559,6469,6470,6388,6311,6175,6330,6244,6311,6406,6423,6409,6355,6261,6252,6253,6374,6356,6487,6506,6523,6500,6779,6798,6678,6567,6637,6676,6703,6594,6761,6698,6686,6603,6646,6641,6649,6795,6656,6628,6596,6652,6784,6793,6602,6782,6697,6591,6614,6443,6529,6533,6615,6728,6697,6724,6750,6591,6754,6883
"5",10004,"Rental",4,6745,6176,6191,6144,5986,6161,6145,6034,6101,6128,6140,6308,6495,6626,6683,6452,6349,6443,6329,6310,6362,6447,6561,6506,6518,6383,6443,6308,6343,6451,6496,6646,6644,6594,6584,6874,6991,6816,6744,6761,6893,6747,6729,6838,6814,6824,6647,6689,6721,6737,6858,6665,6730,6710,6749,6768,6868,6656,6985,6727,6734,6650,6650,6582,6615,6671,6683,6813,6891,6793,6735,6931,6930
"6",10005,"Rental",4,6253,5684,5672,5603,5527,5700,5659,5614,5563,5678,5720,5831,6044,6164,6080,6020,5906,5842,5852,5917,5902,6007,6013,5995,5999,5893,5885,5873,5856,5966,5990,6101,6094,6113,6093,6388,6351,6399,6176,6152,6366,6312,6222,6305,6325,6298,6140,6134,6200,6184,6341,6197,6223,6182,6255,6396,6386,6152,6393,6197,6262,6198,6120,6073,6036,6208,6253,6404,6350,6270,6205,6392,6529
"7",10006,"Rental",4,7264,6581,6644,6571,6565,6616,6708,6689,6516,6714,6724,6853,6926,7160,7049,6980,6833,6869,6837,6865,6917,6925,7015,7045,7002,6904,6898,6850,6886,6893,7024,7090,7096,7112,7112,7357,7404,7380,7221,7210,7293,7315,7191,7385,7296,7322,7164,7194,7187,7182,7374,7166,7225,7174,7163,7304,7281,7259,7398,7246,7151,7225,7076,7132,7047,7206,7269,7380,7391,7291,7247,7336,7564
"8",10007,"Rental",4,5430,5156,5191,5075,5024,5238,5236,5122,5108,5186,5215,5384,5481,5655,5615,5536,5335,5396,5299,5338,5429,5410,5455,5487,5546,5397,5451,5387,5351,5445,5495,5605,5643,5544,5603,5927,5935,5829,5759,5760,5805,5729,6433,6431,5556,5350,5522,5472,5413,5379,5471,5558,5412,5484,5540,5462,5484,5566,5561,5581,5455,5394,5322,5320,5263,5373,5324,5556,5540,5506,5500,5535,5526
"9",10009,"Rental",4,5886,5263,5322,5194,5243,5099,5094,5025,5164,5191,5394,5350,5477,5485,5414,5377,5557,5530,5585,5528,5406,5551,5474,5538,5584,5527,5618,5821,5701,5594,5405,5451,5550,5461,5701,5927,6092,6078,6080,6057,6314,6170,5923,5923,6010,5908,5945,5856,5988,6052,6231,6059,6085,6031,6033,6085,5965,5987,5909,5584,5701,5529,6005,5912,5644,5956,6132,5961,5844,5645,5878,5844,6276
"10",10010,"Rental",4,6863,6263,6244,6022,6198,6074,6053,6054,6056,6042,6268,6406,6479,6427,6647,6649,6512,6309,6379,6436,6520,6512,6508,6540,6562,6563,6541,6605,6645,6539,6520,6675,6565,6575,6699,7326,6755,6649,6545,6601,6583,6662,6609,6544,6811,6939,7057,7077,7035,7336,7765,7001,7188,7264,7135,7023,7041,7034,7045,6606,6831,6406,6698,6461,6703,7234,6848,6650,6763,7286,7249,7015,7039
